year,qtr,n,W/L,hit_rate,P&L
2019,Q2,1,1W/0L,+100.0%,"+$1,133"
2019,Q3,1,1W/0L,+100.0%,"+$4,712"
2020,Q1,1,1W/0L,+100.0%,"+$16,900"
2020,Q2,1,1W/0L,+100.0%,"+$4,144"
2020,Q3,1,0W/1L,+0.0%,"-$21,509"
2021,Q1,3,2W/1L,+66.7%,"+$3,966"
2021,Q2,5,2W/3L,+40.0%,"-$28,653"
2021,Q3,8,6W/2L,+75.0%,"+$29,481"
2022,Q3,6,5W/1L,+83.3%,"+$29,791"
2022,Q4,3,0W/3L,+0.0%,"-$19,581"
2023,Q1,2,0W/2L,+0.0%,"-$12,770"
2023,Q2,4,3W/1L,+75.0%,"+$32,116"
2023,Q3,2,0W/2L,+0.0%,"-$11,608"
2023,Q4,1,1W/0L,+100.0%,"+$4,824"
2024,Q1,1,0W/1L,+0.0%,"-$2,487"
2024,Q2,4,0W/4L,+0.0%,"-$24,598"
2024,Q3,6,3W/3L,+50.0%,-$660
2024,Q4,1,1W/0L,+100.0%,"+$1,432"
