strategy,ticker,fiscal_quarter_end,direction,entry_date_T,exit_date,entry_price,exit_price,size_pct,gross_return_pct,net_return_pct,gross_pnl_usd,net_pnl_usd,conviction_tier
1,OVV,2021-03-31,long,2021-04-15,2021-05-01,24.21,24.94,0.1,0.030152829409335,0.027152829409335,3015.2829409335,2715.2829409335,medium
1,FANG,2021-03-31,long,2021-04-19,2021-05-05,77.67,83.12,0.25,0.0701686622891721,0.0671686622891721,17542.165572293023,16792.165572293023,high
1,DVN,2021-03-31,long,2021-04-20,2021-05-06,20.97,25.27,0.25,0.2050548402479733,0.2020548402479733,51263.710061993326,50513.710061993326,high
1,SM,2021-06-30,long,2021-07-15,2021-07-31,20.42,18.72,0.25,-0.0832517140058767,-0.0862517140058767,-20812.928501469178,-21562.928501469178,high
1,SM,2021-09-30,long,2021-10-14,2021-10-30,29.37,36.64,0.25,0.2475314947225059,0.2445314947225059,61882.87368062648,61132.87368062648,high
1,FANG,2021-09-30,long,2021-10-18,2021-11-03,109.26,111.81,0.25,0.0233388248215266,0.0203388248215266,5834.706205381651,5084.706205381651,high
1,OXY,2021-09-30,long,2021-10-21,2021-11-06,32.8,34.29,0.1,0.0454268292682927,0.0424268292682927,4542.68292682927,4242.68292682927,medium
1,DVN,2021-12-31,long,2022-02-01,2022-02-17,52.56,55.25,0.25,0.051179604261796,0.0481796042617959,12794.901065449,12044.901065449,high
1,FANG,2021-12-31,long,2022-02-08,2022-02-24,124.37,127.89,0.25,0.0283026453324756,0.0253026453324756,7075.6613331189,6325.6613331189,high
1,SM,2022-03-31,long,2022-04-14,2022-04-30,41.35,34.58,0.25,-0.1637243047158404,-0.1667243047158405,-40931.0761789601,-41681.0761789601,high
1,FANG,2022-03-31,long,2022-04-18,2022-05-04,140.0,142.49001,0.25,0.0177857857142858,0.0147857857142858,4446.446428571449,3696.44642857145,high
1,OVV,2022-06-30,long,2022-07-20,2022-08-05,46.58,47.82,0.25,0.0266208673250322,0.0236208673250322,6655.21683125805,5905.21683125805,high
1,SM,2022-06-30,long,2022-07-20,2022-08-05,36.58,38.1,0.25,0.0415527610716239,0.0385527610716239,10388.190267905977,9638.190267905977,high
1,PR,2022-09-30,long,2022-10-25,2022-11-10,9.67,10.23,0.25,0.0579110651499483,0.0549110651499483,14477.766287487077,13727.766287487077,high
1,FANG,2024-03-31,short,2024-04-16,2024-05-02,191.9289,185.9814,0.05,0.030988,0.027988,1549.4,1399.4,low
1,SM,2024-03-31,long,2024-04-18,2024-05-04,48.04,50.72,0.25,0.0557868442964196,0.0527868442964196,13946.7110741049,13196.7110741049,high
1,OXY,2024-12-31,long,2025-02-04,2025-02-20,46.3445,50.7267,0.25,0.0945570671816505,0.0915570671816505,23639.266795412623,22889.266795412623,high
1,DVN,2024-12-31,short,2025-02-04,2025-02-20,33.3128,37.3099,0.25,-0.119987,-0.122987,-29996.75,-30746.75,high
1,OXY,2025-03-31,long,2025-04-23,2025-05-09,38.9857,41.2663,0.1,0.0584983724801657,0.0554983724801658,5849.83724801657,5549.83724801657,medium
