strategy,ticker,fiscal_quarter_end,entry_date_T,exit_date,entry_price,exit_price,size_pct,gross_return_pct,net_return_pct,gross_pnl_usd,net_pnl_usd,wti_asof_date,wti_asof,wti_prev_date,wti_prev,wti_4w_return_pct,wti_veto,wti_veto_reason,baseline_net_return_pct,baseline_net_pnl_usd,direction_after_veto,size_pct_after_veto
1,FANG,2019-06-30,2019-07-23,2019-08-08,104.44,95.2,0.05,-0.08847184986595169,-0.0914718498659517,-4423.592493297585,-4573.592493297585,2019-07-19,56.74,2019-06-21,54.75,3.6347031963470444,False,no_stress_veto,-0.0914718498659517,-4573.592493297585,long,0.05
1,FANG,2019-09-30,2019-10-22,2019-11-07,85.69,75.56,0.1,-0.11821682810129532,-0.12121682810129532,-11821.682810129532,-12121.682810129532,2019-10-18,53.49,2019-09-20,59.33,-9.843249620765205,False,no_stress_veto,-0.12121682810129532,-12121.682810129532,long,0.1
1,MTDR,2020-09-30,2020-10-13,2020-10-29,8.77,6.91,0.05,-0.21208665906499424,-0.21508665906499425,-10604.332953249712,-10754.332953249712,2020-10-09,40.19,2020-09-11,37.38,7.517388978063111,False,no_stress_veto,-0.21508665906499425,-10754.332953249712,long,0.05
1,OVV,2021-03-31,2021-04-15,2021-05-01,24.21,24.94,0.1,0.030152829409335002,0.027152829409335003,3015.2829409335004,2715.2829409335004,2021-04-09,59.35,2021-03-12,65.02,-8.72039372500768,False,no_stress_veto,0.027152829409335003,2715.2829409335004,long,0.1
1,MTDR,2021-06-30,2021-07-13,2021-07-29,35.54,30.9,0.1,-0.13055711873944853,-0.13355711873944853,-13055.711873944852,-13355.711873944852,2021-07-09,73.35,2021-06-11,70.11,4.621309370988436,False,no_stress_veto,-0.13355711873944853,-13355.711873944852,long,0.1
1,MTDR,2021-09-30,2021-10-12,2021-10-28,42.39,42.32,0.1,-0.001651332861523951,-0.004651332861523951,-165.1332861523951,-465.1332861523951,2021-10-08,78.5,2021-09-10,68.98,13.801101768628588,False,no_stress_veto,-0.004651332861523951,-465.1332861523951,long,0.1
1,FANG,2021-09-30,2021-10-18,2021-11-03,109.26,111.81,0.1,0.023338824821526608,0.02033882482152661,2333.882482152661,2033.882482152661,2021-10-15,81.18,2021-09-17,71.69,13.237550564932366,False,no_stress_veto,0.02033882482152661,2033.882482152661,long,0.1
1,OVV,2021-09-30,2021-10-19,2021-11-04,39.27,35.74,0.1,-0.08989050165520755,-0.09289050165520756,-8989.050165520755,-9289.050165520755,2021-10-15,81.18,2021-09-17,71.69,13.237550564932366,False,no_stress_veto,-0.09289050165520756,-9289.050165520755,long,0.1
1,CTRA,2021-09-30,2021-10-20,2021-11-05,21.41,21.58,0.1,0.007940214852872404,0.004940214852872404,794.0214852872404,494.02148528724035,2021-10-15,81.18,2021-09-17,71.69,13.237550564932366,False,no_stress_veto,0.004940214852872404,494.02148528724035,long,0.1
1,OXY,2021-09-30,2021-10-21,2021-11-06,32.8,34.29,0.1,0.045426829268292744,0.04242682926829274,4542.682926829274,4242.682926829274,2021-10-15,81.18,2021-09-17,71.69,13.237550564932366,False,no_stress_veto,0.04242682926829274,4242.682926829274,long,0.1
1,DVN,2021-12-31,2022-02-01,2022-02-17,52.56,55.25,0.1,0.051179604261796,0.048179604261795995,5117.960426179599,4817.960426179599,2022-01-28,86.94,2021-12-31,76.05,14.319526627218938,False,no_stress_veto,0.048179604261795995,4817.960426179599,long,0.1
1,MTDR,2022-09-30,2022-10-11,2022-10-27,60.09,66.04,0.1,0.09901813945748049,0.09601813945748049,9901.813945748048,9601.813945748048,2022-10-07,88.22,2022-09-09,85.29,3.4353382577089864,False,no_stress_veto,0.09601813945748049,9601.813945748048,long,0.1
1,DVN,2022-09-30,2022-10-18,2022-11-03,69.77,70.73,0.1,0.01375949548516566,0.01075949548516566,1375.949548516566,1075.949548516566,2022-10-14,88.97,2022-09-16,87.24,1.983035304906,False,no_stress_veto,0.01075949548516566,1075.949548516566,long,0.1
1,OVV,2022-12-31,2023-02-13,2023-03-01,48.38,45.21,0.05,-0.0655229433650269,-0.0685229433650269,-3276.1471682513447,-3426.1471682513447,2023-02-10,77.51,2023-01-13,77.1,0.5317769130998906,False,no_stress_veto,-0.0685229433650269,-3426.1471682513447,long,0.05
1,CTRA,2023-03-31,2023-04-20,2023-05-06,25.56,24.86,0.1,-0.027386541471048485,-0.030386541471048484,-2738.6541471048486,-3038.6541471048486,2023-04-14,81.87,2023-03-17,69.6,17.629310344827598,False,no_stress_veto,-0.030386541471048484,-3038.6541471048486,long,0.1
1,OVV,2023-06-30,2023-07-13,2023-07-29,39.8,46.09,0.1,0.1580402010050253,0.1550402010050253,15804.02010050253,15504.02010050253,2023-07-07,71.79,2023-06-09,71.56,0.32140860816098904,False,no_stress_veto,0.1550402010050253,15504.02010050253,long,0.1
1,DVN,2023-06-30,2023-07-18,2023-08-03,50.51,50.83,0.1,0.006335379132844987,0.003335379132844987,633.5379132844987,333.5379132844987,2023-07-14,75.2,2023-06-16,69.42,8.326130798040921,False,no_stress_veto,0.003335379132844987,333.5379132844987,long,0.1
1,EOG,2023-09-30,2023-10-19,2023-11-04,136.23,126.42,0.1,-0.07201057035895168,-0.07501057035895169,-7201.057035895168,-7501.057035895168,2023-10-13,85.03,2023-09-15,89.14,-4.61072470271483,False,no_stress_veto,-0.07501057035895169,-7501.057035895168,long,0.1
1,FANG,2023-09-30,2023-10-23,2023-11-08,165.32001,155.97,0.1,-0.05655703746932993,-0.05955703746932992,-5655.7037469329925,-5955.7037469329925,2023-10-20,88.03,2023-09-22,90.28,-2.492246344705362,False,no_stress_veto,-0.05955703746932992,-5955.7037469329925,long,0.1
1,FANG,2024-06-30,2024-07-22,2024-08-07,204.67999,191.38,0.1,-0.06497943448209084,-0.06797943448209084,-6497.943448209085,-6797.943448209085,2024-07-19,82.98,2024-06-21,82.26,0.875273522975939,False,no_stress_veto,-0.06797943448209084,-6797.943448209085,long,0.1
1,FANG,2024-09-30,2024-10-21,2024-11-06,182.41,183.62,0.1,0.006633408256126352,0.0036334082561263518,663.3408256126352,363.3408256126352,2024-10-18,70.81,2024-09-20,72.14,-1.843637371777096,False,no_stress_veto,0.0036334082561263518,363.3408256126352,long,0.1
